Action,Custom label (SKU),Category ID,Title,Buy It Now price,Quantity,Item photo URL,Format,Duration,Condition ID,Best Offer Enabled,Best Offer Auto Accept Price,Minimum Best Offer Price,Description,Card Name,Sport,Player/Athlete,Parallel/Variety,Season,Manufacturer,Features,Set,Graded,Grade,Professional Grader,Certification Number,Card Number,Team,Autographed,Print Run
Add,MUN-GARNACHO-199-PSA10,261328,2022-23 Panini Donruss FIFA Alejandro Garnacho Rated Rookie PINK /25 PSA 10 GEM,$479.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/MUN-GARNACHO-199-PSA10.jpg,FixedPrice,GTC,2750,TRUE,$410.00,$350.00,"<p>Grail modern rookie alert: 2022-23 Panini Donruss FIFA Alejandro Garnacho True Rated Rookie card Pink parallel serial numbered #/25 (15/25) graded PSA 10 Gem Mint (Cert #101889066). Extremely rare low-print rookie parallel for the Manchester United and Argentina phenom. Ships double-boxed, slab-sleeved, with full signature tracking.</p>",Rated Rookie Pink /25,Soccer,Alejandro Garnacho,Pink /25,2022-23,Panini,"Rookie Card, Serial Numbered, Short Print (SP), Rated Rookie",2022-23 Panini Donruss FIFA,Yes,10,Professional Sports Authenticator (PSA),101889066,199,Manchester United,No,25
Add,RMA-VINI-112-PSA10,261328,2024-25 Panini Select La Liga Vini Jr Honeycomb Case Hit SSP PSA 10 GEM MINT,$429.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/RMA-VINI-112-PSA10.jpg,FixedPrice,GTC,2750,TRUE,$360.00,$300.00,<p>For sale is a 2024-25 Panini Select La Liga Vini Jr (Vinícius Júnior) Honeycomb Prizm Case Hit SSP Mezzanine Level graded PSA 10 Gem Mint (Cert #123472258). Ultra-rare case hit parallel featuring Real Madrid's superstar attacker. Pristine centering and eye appeal. Ships safely packaged with signature confirmation.</p>,Mezzanine Honeycomb Case Hit,Soccer,Vini Jr. / Vinicius Junior,Honeycomb Case Hit SSP,2024-25,Panini,"Case Hit, Super Short Print (SSP), Prizm, Mezzanine",2024-25 Panini Select La Liga,Yes,10,Professional Sports Authenticator (PSA),123472258,112,Real Madrid,No,SSP Case Hit
Add,DIS-RAYA-174-PSA10,261328,2024 Topps Chrome Disney Raya Gold Refractor /50 PSA 10 GEM MINT #174,$249.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/DIS-RAYA-174-PSA10.jpg,FixedPrice,GTC,2750,TRUE,$215.00,$180.00,<p>2024 Topps Chrome Disney Raya and the Last Dragon Gold Refractor numbered #44/50 graded PSA 10 Gem Mint (Cert #113942807). Iconic modern Disney Chrome release in the coveted True Gold /50 parallel with Gem Mint grade. Ships securely boxed with insurance.</p>,Gold Refractor /50,Non-Sport,Raya,Gold Refractor /50,2024,Topps,"Serial Numbered, Gold Refractor, Short Print",2024 Topps Chrome Disney,Yes,10,Professional Sports Authenticator (PSA),113942807,174,Disney,No,50
Add,UGA-BECK-1OF1-PSA9,261328,2023 Leaf Eclectic Carson Beck Valiant Zebra Mojo AUTO 1/1 PSA 9 MINT AUTO 10,$219.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/UGA-BECK-1OF1-PSA9.jpg,FixedPrice,GTC,2750,TRUE,$175.00,$140.00,<p>True One-of-One: 2023 Leaf Eclectic Carson Beck Valiant Autograph Zebra Mojo 1/1 (#VACB1) graded PSA 9 Mint with a PSA 10 Certified Autograph (Cert #87700011). Rare 1/1 college football piece featuring the Georgia Bulldogs star quarterback. Certified authentic signature. Ships insured and boxed.</p>,Valiant Autograph Zebra Mojo 1/1,Football,Carson Beck,Zebra Mojo 1/1,2023,Leaf,"One of One (1/1), Autograph, Auto 10 Grade, Short Print",2023 Leaf Eclectic,Yes,9,Professional Sports Authenticator (PSA),87700011,VACB1,Georgia Bulldogs,Yes,1
Add,USA-PULISIC-201-PSA10,261328,2024-25 Panini Select FIFA Christian Pulisic Purple Mojo Field Level PSA 10 GEM,$129.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/USA-PULISIC-201-PSA10.jpg,FixedPrice,GTC,2750,TRUE,$110.00,$90.00,"<p>2024-25 Panini Select FIFA Christian Pulisic Purple Mojo Prizm Field Level #201 graded PSA 10 Gem Mint (Cert #153466044). Features Captain America in USMNT colors from the highest, rarest base tier (Field Level). Ships bubble-wrapped and boxed.</p>",Field Level Purple Mojo,Soccer,Christian Pulisic,Purple Mojo Field Level,2024-25,Panini,"Field Level, Purple Mojo, Gem Mint",2024-25 Panini Select FIFA,Yes,10,Professional Sports Authenticator (PSA),153466044,201,United States / AC Milan,No,SP
Add,ENG-PALMER-166-PSA9,261328,2024-25 Panini Select FIFA Cole Palmer Mezzanine Bronze Checker /75 PSA 9 MINT,$119.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/ENG-PALMER-166-PSA9.jpg,FixedPrice,GTC,2750,TRUE,$95.00,$75.00,<p>2024-25 Panini Select FIFA Cole Palmer Mezzanine Bronze Checkerboard Prizm numbered #13/75 graded PSA 9 Mint (Cert #153466059). Super-short print parallel for the England and Chelsea attacking maestro. Shipped with top-tier protection.</p>,Mezzanine Bronze Checker /75,Soccer,Cole Palmer,Bronze Checker /75,2024-25,Panini,"Serial Numbered, Bronze Checkerboard, Mezzanine",2024-25 Panini Select FIFA,Yes,9,Professional Sports Authenticator (PSA),153466059,166,England / Chelsea FC,No,75
Add,SPONGE-KAREN-SAK-PSA9,261328,2025 Topps Chrome SpongeBob Jill Talley Voice of Karen Solo AUTO PSA 9 MINT,$114.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/SPONGE-KAREN-SAK-PSA9.jpg,FixedPrice,GTC,2750,TRUE,$90.00,$75.00,<p>2025 Topps Chrome SpongeBob SquarePants 25th Anniversary Jill Talley Solo Autograph inscribed 'Karen' (#SA-K) graded PSA 9 Mint (Cert #153466071). Topps certified authentic on-card signature by the legendary voice of Karen the Computer Wife. Shipped safely boxed.</p>,Solo Autograph 'Karen',Non-Sport,Jill Talley (Karen),Solo Autograph,2025,Topps,"Certified Autograph, Character Inscription, 25th Anniversary",2025 Topps Chrome SpongeBob,Yes,9,Professional Sports Authenticator (PSA),153466071,SA-K,SpongeBob SquarePants,Yes,SP
Add,MCI-HAALAND-227-PSA9,261328,2024-25 Panini Select PL Erling Haaland Field Level Bronze Checker /125 PSA 9,$99.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/MCI-HAALAND-227-PSA9.jpg,FixedPrice,GTC,2750,TRUE,$80.00,$65.00,<p>2024-25 Panini Select Premier League Erling Haaland Field Level Bronze Checkerboard Prizm numbered #057/125 graded PSA 9 Mint (Cert #153466052). Rare Field Level tier parallel of Manchester City's record-breaking striker. Packed with care in bubble sleeve and box.</p>,Field Level Bronze Checker /125,Soccer,Erling Haaland,Bronze Checker /125,2024-25,Panini,"Serial Numbered, Field Level Tier, Bronze Checkerboard",2024-25 Panini Select Premier League,Yes,9,Professional Sports Authenticator (PSA),153466052,227,Manchester City,No,125
Add,MUN-BADGE-199-PSA9,261328,2025-26 Topps Premier League Manchester Utd Badge Orange Rainbow 25/25 PSA 9,$105.99,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/MUN-BADGE-199-PSA9.jpg,FixedPrice,GTC,2750,TRUE,$95.00,$85.00,"<p>2025-26 Topps Premier League Manchester United Team Badge Card #199 Orange Rainbow Foil parallel serial numbered #25/25 (Bookend!) graded PSA 9 Mint (Cert #153466046). Iconic Old Trafford club crest parallel limited to just 25 copies. Fast, secure shipping.</p>",Manchester United Badge Orange Rainbow /25,Soccer,Manchester United Crest,Orange Rainbow Foil /25 (Bookend 25/25),2025-26,Topps,"Serial Numbered, Bookend 25/25, Club Crest Badge, Short Print",2025-26 Topps Premier League,Yes,9,Professional Sports Authenticator (PSA),153466046,199,Manchester United,No,25
Add,LIV-ALISSON-PAB-PSA10,261328,2024-25 Panini Prizm Premier League Alisson Becker Penmanship Choice Auto PSA 10,$269.99 ,1,https://raw.githubusercontent.com/YinzBreaks/ebay-card-assets/main/assets/9_6_28_upload/LIV-ALISSON-PAB-PSA10.jpg,FixedPrice,GTC,2750,TRUE,$240.00 ,$210.00 ,"<p>Up for sale is a 2024-25 Panini Prizm Premier League Alisson Becker Penmanship Choice Autograph graded PSA 10 Gem Mint (Cert #153466060). Official Panini certified on-card look Choice Prizm parallel featuring the world-class Liverpool FC goalkeeper. Ships securely packaged in slab sleeve, bubble wrapped, and boxed.</p>",Penmanship Choice Autograph,Soccer,Alisson Becker,Choice / Prizm Choice,2024-25,Panini,"Autograph, Short Print, Choice Prizm",2024-25 Panini Prizm Premier League,Yes,10,Professional Sports Authenticator (PSA),153466060,P-AB,Liverpool FC,Yes,SSP
